Gammal kod	Gammalt namn	Ny kod	Nytt namn	Hel/Del	Datum ikraftträdande	Ändringstyp	Ändring
0285	Djursholm	0185	Djursholm	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0286	Lidingö	0186	Lidingö	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0287	Vaxholm	0187	Vaxholm	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0288	Norrtälje	0188	Norrtälje	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0289	Östhammar	0289	Östhammar	Hel	1957-01-01	15	Utvidgas
0289	Östhammar	0289	Östhammar	Hel	1967-01-01	15	Utvidgas
0289	Östhammar	0189	Östhammar	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0290	Öregrund	0289	Östhammar	Hel	1967-01-01	10	Upphör; till befintlig
0291	Sigtuna	0191	Sigtuna	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0301	Åsunda	0381	Enköping	Hel	1971-01-01	10	Upphör; till befintlig
0302	Södra Trögd	0381	Enköping	Hel	1971-01-01	10	Upphör; till befintlig
0303	Norra Trögd	0381	Enköping	Hel	1971-01-01	10	Upphör; till befintlig
0304	Upplands-Bro	0139	Upplands-Bro	Hel	1971-01-01	20	Kodändrad; ny länstillhörighet
0306	Lagunda	0381	Enköping	Hel	1971-01-01	10	Upphör; till befintlig
0307	Södra Hagunda	0380	Uppsala	Hel	1967-01-01	10	Upphör; till befintlig
0308	Norra Hagunda	0380	Uppsala	Hel	1971-01-01	10	Upphör; till befintlig
0309	Bälinge	0380	Uppsala	Hel	1971-01-01	10	Upphör; till befintlig
0310	Vaksala	0380	Uppsala	Hel	1967-01-01	10	Upphör; till befintlig
0311	Rasbo	0312	Oland	Hel	1967-01-01	10	Upphör; till befintlig
0312	Oland	0312	Oland	Hel	1967-01-01	15	Utvidgas
0312	Oland	0380	Uppsala	Del	1974-01-01	10	Upphör; till befintlig
0312	Oland	0382	Östhammar	Del	1974-01-01	10	Upphör; till befintlig
0313	Dannemora	0382	Östhammar	Hel	1974-01-01	10	Upphör; till befintlig
0314	Vattholma	0380	Uppsala	Hel	1971-01-01	10	Upphör; till befintlig
0315	Björklinge	0380	Uppsala	Hel	1971-01-01	10	Upphör; till befintlig
0316	Vendel	0360	Tierp	Hel	1974-01-01	10	Upphör; till befintlig
0317	Tierps landskommun	0317	Tierpsbygden	Hel	1971-01-01	40	Namnändrad (ej kodändrad)
0317	Tierpsbygden	0360	Tierp	Hel	1974-01-01	10	Upphör; till befintlig
0318	Söderfors	0360	Tierp	Hel	1974-01-01	10	Upphör; till befintlig
0320	Västland	0360	Tierp	Hel	1974-01-01	10	Upphör; till befintlig
0321	Österlövsta	0360	Tierp	Hel	1974-01-01	10	Upphör; till befintlig
0322	Hållnäs	0360	Tierp	Hel	1974-01-01	10	Upphör; till befintlig
0360	Tierp	0360	Tierp	Hel	1974-01-01	15	Utvidgas
0380	Uppsala	0380	Uppsala	Hel	1967-01-01	15	Utvidgas
0380	Uppsala	0380	Uppsala	Hel	1971-01-01	15	Utvidgas
0380	Uppsala	0380	Uppsala	Hel	1974-01-01	15	Utvidgas
0380	Uppsala	0330	Knivsta	Del	2003-01-01	12	Ger del till nybildad
0381	Enköping	0381	Enköping	Hel	1971-01-01	15	Utvidgas
0382	Östhammar	0382	Östhammar	Hel	1974-01-01	15	Utvidgas
0382		0382	Östhammar	Hel	1971-01-01	15	Utvidgas
0401	Tunaberg	0480	Nyköping	Hel	1971-01-01	10	Upphör; till befintlig
0402	Jönåker	0480	Nyköping	Hel	1971-01-01	10	Upphör; till befintlig
0403	Björkvik	0483	Katrineholm	Hel	1971-01-01	10	Upphör; till befintlig
0404	Stigtomta	0480	Nyköping	Hel	1971-01-01	10	Upphör; till befintlig
0405	Rönö	0480	Nyköping	Hel	1971-01-01	10	Upphör; till befintlig
0406	Svärta	0480	Nyköping	Hel	1967-01-01	10	Upphör; till befintlig
0407	Tystberga	0480	Nyköping	Hel	1971-01-01	10	Upphör; till befintlig
0408	Vagnhärad	0480	Nyköping	Hel	1974-01-01	10	Upphör; till befintlig
0409	Hölö	0181	Södertälje	Hel	1971-01-01	10	Upphör; till befintlig
0410	Gnesta	0461	Gnesta	Hel	1955-01-01	23	Kodändrad; annat än 20-22
0411	Daga	0480	Nyköping	Hel	1974-01-01	10	Upphör; till befintlig
0412	Åker	0486	Strängnäs	Hel	1971-01-01	10	Upphör; till befintlig
0413	Enhörna	0281	Södertälje	Hel	1967-01-01	10	Upphör; till befintlig
0414	Stallarholmen	0486	Strängnäs	Hel	1971-01-01	10	Upphör; till befintlig
0415	Tosterö	0486	Strängnäs	Hel	1971-01-01	10	Upphör; till befintlig
0416	Vårfruberga	0486	Strängnäs	Hel	1971-01-01	10	Upphör; till befintlig
0417	Kafjärden	0484	Eskilstuna	Hel	1971-01-01	10	Upphör; till befintlig
0418	Hällby	0484	Eskilstuna	Hel	1971-01-01	10	Upphör; till befintlig
0419	Västra Rekarne	0484	Eskilstuna	Hel	1971-01-01	10	Upphör; till befintlig
0420	Husby-Rekarne	0484	Eskilstuna	Hel	1971-01-01	10	Upphör; till befintlig
0421	Ärla	0484	Eskilstuna	Hel	1971-01-01	10	Upphör; till befintlig
0422	Mellösa	0482	Flen	Hel	1971-01-01	10	Upphör; till befintlig
0423	Sparreholm	0482	Flen	Hel	1965-01-01	10	Upphör; till befintlig
0424	Bettna	0480	Nyköping	Del	1971-01-01	10	Upphör; till befintlig
0424	Bettna	0482	Flen	Del	1971-01-01	10	Upphör; till befintlig
0425	Sköldinge	0483	Katrineholm	Hel	1971-01-01	10	Upphör; till befintlig
0426	Floda	0483	Katrineholm	Hel	1971-01-01	10	Upphör; till befintlig
0427	Stora Malm	0483	Katrineholm	Hel	1971-01-01	10	Upphör; till befintlig
0428	Västra Vingåker	0428	Vingåker	Hel	1963-01-01	40	Namnändrad (ej kodändrad)
0428	Vingåker	0428	Vingåker	Hel	1971-01-01	15	Utvidgas
0429	Julita	0428	Vingåker	Del	1971-01-01	10	Upphör; till befintlig
0429	Julita	0483	Katrineholm	Del	1971-01-01	10	Upphör; till befintlig
0460	Malmköping	0482	Flen	Hel	1971-01-01	10	Upphör; till befintlig
0461	Gnesta	0480	Nyköping	Hel	1974-01-01	10	Upphör; till befintlig
0480	Nyköping	0480	Nyköping	Hel	1967-01-01	15	Utvidgas
0480	Nyköping	0480	Nyköping	Hel	1971-01-01	15	Utvidgas
0480	Nyköping	0480	Nyköping	Hel	1974-01-01	15	Utvidgas
0480	Nyköping	0461	Gnesta	Del	1992-01-01	13	Ger delar till nybildade
0480	Nyköping	0488	Trosa	Del	1992-01-01	13	Ger delar till nybildade
0482	Flen	0482	Flen	Hel	1965-01-01	15	Utvidgas
0482	Flen	0482	Flen	Hel	1971-01-01	15	Utvidgas
0483	Katrineholm	0483	Katrineholm	Hel	1971-01-01	15	Utvidgas
0484	Eskilstuna	0484	Eskilstuna	Hel	1971-01-01	15	Utvidgas
0485	Torshälla	0484	Eskilstuna	Hel	1971-01-01	10	Upphör; till befintlig
0486	Strängnäs	0486	Strängnäs	Hel	1971-01-01	15	Utvidgas
0487	Mariefred	0181	Södertälje	Del	1971-01-01	10	Upphör; till befintlig
0487	Mariefred	0486	Strängnäs	Del	1971-01-01	10	Upphör; till befintlig
0488	Trosa	0480	Nyköping	Hel	1974-01-01	10	Upphör; till befintlig
0501	Godegård	0583	Motala	Hel	1971-01-01	10	Upphör; till befintlig
0502	Tjällmo	0583	Motala	Hel	1974-01-01	10	Upphör; till befintlig
0503	Borensberg	0583	Motala	Hel	1971-01-01	10	Upphör; till befintlig
0504	Boberg	0583	Motala	Del	1971-01-01	10	Upphör; till befintlig
0504	Boberg	0586	Mjölby	Del	1971-01-01	10	Upphör; till befintlig
0505	Aska	0583	Motala	Hel	1974-01-01	10	Upphör; till befintlig
0506	Östgöta-Dal	0584	Vadstena	Hel	1967-01-01	10	Upphör; till befintlig
0507	Folkunga	0560	Boxholm	Del	1971-01-01	10	Upphör; till befintlig
0507	Folkunga	0584	Vadstena	Del	1971-01-01	10	Upphör; till befintlig
0507	Folkunga	0586	Mjölby	Del	1971-01-01	10	Upphör; till befintlig
0508	Alvastra	0509	Ödeshög	Hel	1969-01-01	10	Upphör; till befintlig
0509	Ödeshög	0509	Ödeshög	Hel	1969-01-01	15	Utvidgas
0510	Södra Göstring	0560	Boxholm	Hel	1971-01-01	10	Upphör; till befintlig
0511	Vifolka	0586	Mjölby	Hel	1971-01-01	10	Upphör; till befintlig
0513	Västra Kinda	0513	Kinda	Hel	1974-01-01	16	Utvidgas och namnändras
0514	Södra Kinda	0513	Kinda	Hel	1974-01-01	10	Upphör; till befintlig
0515	Norra Kinda	0513	Kinda	Hel	1974-01-01	10	Upphör; till befintlig
0516	Björsäter	0561	Åtvidaberg	Hel	1971-01-01	10	Upphör; till befintlig
0517	Askeby	0524	Åkerbo	Hel	1961-01-01	10	Upphör; till befintlig
0518	Landeryd	0580	Linköping	Hel	1963-01-01	10	Upphör; till befintlig
0519	Vårdnäs	0580	Linköping	Hel	1971-01-01	10	Upphör; till befintlig
0520	Södra Valkebo	0580	Linköping	Hel	1971-01-01	10	Upphör; till befintlig
0521	Norra Valkebo	0580	Linköping	Hel	1971-01-01	10	Upphör; till befintlig
0522	Kärna	0580	Linköping	Hel	1967-01-01	10	Upphör; till befintlig
0523	Vreta kloster	0580	Linköping	Hel	1971-01-01	10	Upphör; till befintlig
0524	Åkerbo	0524	Åkerbo	Hel	1961-01-01	15	Utvidgas
0524	Åkerbo	0580	Linköping	Hel	1971-01-01	10	Upphör; till befintlig
0525	Norsholm	0526	Skärblacka	Hel	1963-01-01	10	Upphör; till befintlig
0526	Skärblacka	0526	Skärblacka	Hel	1963-01-01	15	Utvidgas
0526	Skärblacka	0581	Norrköping	Hel	1971-01-01	10	Upphör; till befintlig
0527	Hällestad	0562	Finspång	Hel	1971-01-01	10	Upphör; till befintlig
0528	Hävla	0562	Finspång	Hel	1971-01-01	10	Upphör; till befintlig
0529	Kvillinge	0581	Norrköping	Hel	1971-01-01	10	Upphör; till befintlig
0530	Kolmården	0581	Norrköping	Hel	1971-01-01	10	Upphör; till befintlig
0531	Västra Vikbolandet	0531	Vikbolandet	Hel	1967-01-01	16	Utvidgas och namnändras
0531	Vikbolandet	0581	Norrköping	Hel	1974-01-01	10	Upphör; till befintlig
0532	Östra Vikbolandet	0531	Vikbolandet	Hel	1967-01-01	10	Upphör; till befintlig
0533	Stegeborg	0582	Söderköping	Hel	1974-01-01	10	Upphör; till befintlig
0534	Aspveden	0582	Söderköping	Hel	1971-01-01	10	Upphör; till befintlig
0535	Ringarum	0563	Valdemarsvik	Hel	1971-01-01	10	Upphör; till befintlig
0536	Gryt	0563	Valdemarsvik	Hel	1971-01-01	10	Upphör; till befintlig
0560	Boxholm	0560	Boxholm	Hel	1971-01-01	15	Utvidgas
0561	Åtvidaberg	0561	Åtvidaberg	Hel	1971-01-01	15	Utvidgas
0562	Finspång	0562	Finspång	Hel	1971-01-01	15	Utvidgas
0563	Valdemarsvik	0563	Valdemarsvik	Hel	1971-01-01	15	Utvidgas
0580	Linköping	0580	Linköping	Hel	1963-01-01	15	Utvidgas
0580	Linköping	0580	Linköping	Hel	1967-01-01	15	Utvidgas
0580	Linköping	0580	Linköping	Hel	1971-01-01	15	Utvidgas
0581	Norrköping	0581	Norrköping	Hel	1971-01-01	15	Utvidgas
0581	Norrköping	0581	Norrköping	Hel	1974-01-01	15	Utvidgas
0582	Söderköping	0582	Söderköping	Hel	1971-01-01	15	Utvidgas
0582	Söderköping	0582	Söderköping	Hel	1974-01-01	15	Utvidgas
0583	Motala	0583	Motala	Hel	1971-01-01	15	Utvidgas
0583	Motala	0583	Motala	Hel	1974-01-01	15	Utvidgas
0583	Motala	0584	Vadstena	Del	1980-01-01	12	Ger del till nybildad
0584	Vadstena	0584	Vadstena	Hel	1967-01-01	15	Utvidgas
0584	Vadstena	0584	Vadstena	Hel	1971-01-01	15	Utvidgas
0584	Vadstena	0583	Motala	Hel	1974-01-01	10	Upphör; till befintlig
0585	Skänninge	0586	Mjölby	Hel	1971-01-01	10	Upphör; till befintlig
0586	Mjölby	0586	Mjölby	Hel	1971-01-01	15	Utvidgas
0601	Ingatorp	0686	Eksjö	Hel	1971-01-01	10	Upphör; till befintlig
0602	Höreda	0686	Eksjö	Hel	1971-01-01	10	Upphör; till befintlig
0603	Solberga	0682	Nässjö	Hel	1971-01-01	10	Upphör; till befintlig
0604	Bredestad	0604	Aneby	Hel	1967-01-01	16	Utvidgas och namnändras
0605	Hullaryd	0604	Aneby	Hel	1967-01-01	10	Upphör; till befintlig
0606	Linderås	0687	Tranås	Hel	1967-01-01	10	Upphör; till befintlig
0607	Visingsö	0680	Jönköping	Hel	1971-01-01	10	Upphör; till befintlig
0608	Skärstad	0680	Jönköping	Hel	1971-01-01	10	Upphör; till befintlig
0609	Lekeryd	0680	Jönköping	Hel	1971-01-01	10	Upphör; till befintlig
0610	Hakarp	0681	Huskvarna	Hel	1967-01-01	10	Upphör; till befintlig
0611	Tenhult	0680	Jönköping	Hel	1971-01-01	10	Upphör; till befintlig
0612	Forserum	0682	Nässjö	Hel	1971-01-01	10	Upphör; till befintlig
0613	Månsarp	0680	Jönköping	Hel	1971-01-01	10	Upphör; till befintlig
0614	Bankeryd	0680	Jönköping	Hel	1971-01-01	10	Upphör; till befintlig
0615	Norra Mo	0680	Jönköping	Hel	1971-01-01	10	Upphör; till befintlig
0616	Södra Mo	0662	Gislaved	Hel	1974-01-01	10	Upphör; till befintlig
0618	Anderstorp	0666	Anderstorp	Hel	1953-01-01	23	Kodändrad; annat än 20-22
0619	Villstad	0662	Gislaved	Hel	1974-01-01	10	Upphör; till befintlig
0620	Burseryd	0662	Gislaved	Hel	1974-01-01	10	Upphör; till befintlig
0621	Hylte	1315	Hylte	Hel	1974-01-01	10	Upphör; till befintlig
0622	Unnaryd	0662	Gislaved	Del	1974-01-01	10	Upphör; till befintlig
0622	Unnaryd	1315	Hylte	Del	1974-01-01	10	Upphör; till befintlig
0623	Reftele	0662	Gislaved	Hel	1974-01-01	10	Upphör; till befintlig
0624	Bredaryd	0683	Värnamo	Hel	1971-01-01	10	Upphör; till befintlig
0625	Forsheda	0683	Värnamo	Del	1971-01-01	10	Upphör; till befintlig
0625	Forsheda	0781	Ljungby	Del	1971-01-01	10	Upphör; till befintlig
0626	Bor	0683	Värnamo	Hel	1971-01-01	10	Upphör; till befintlig
0627	Rydaholm	0683	Värnamo	Hel	1971-01-01	10	Upphör; till befintlig
0628	Klevshult	0665	Vaggeryd	Del	1971-01-01	10	Upphör; till befintlig
0628	Klevshult	0683	Värnamo	Del	1971-01-01	10	Upphör; till befintlig
0630	Vrigstad	0665	Vaggeryd	Del	1971-01-01	10	Upphör; till befintlig
0630	Vrigstad	0683	Värnamo	Del	1971-01-01	10	Upphör; till befintlig
0630	Vrigstad	0684	Sävsjö	Del	1971-01-01	10	Upphör; till befintlig
0631	Malmbäck	0682	Nässjö	Hel	1971-01-01	10	Upphör; till befintlig
0632	Norra Sandsjö	0682	Nässjö	Hel	1971-01-01	10	Upphör; till befintlig
0633	Hjälmseryd	0684	Sävsjö	Hel	1974-01-01	10	Upphör; till befintlig
0634	Bäckaby	0684	Sävsjö	Del	1971-01-01	10	Upphör; till befintlig
0634	Bäckaby	0685	Vetlanda	Del	1971-01-01	10	Upphör; till befintlig
0635	Korsberga	0685	Vetlanda	Hel	1971-01-01	10	Upphör; till befintlig
0636	Nye	0685	Vetlanda	Hel	1971-01-01	10	Upphör; till befintlig
0637	Alseda	0685	Vetlanda	Hel	1971-01-01	10	Upphör; till befintlig
0638	Vetlanda landskommun	0685	Vetlanda	Hel	1971-01-01	10	Upphör; till befintlig
0639	Björkö	0685	Vetlanda	Hel	1971-01-01	10	Upphör; till befintlig
0640	Lannaskede	0685	Vetlanda	Hel	1971-01-01	10	Upphör; till befintlig
0660	Mariannelund	0686	Eksjö	Hel	1971-01-01	10	Upphör; till befintlig
0661	Norrahammar	0680	Jönköping	Hel	1971-01-01	10	Upphör; till befintlig
0662	Gislaved	0662	Gislaved	Hel	1974-01-01	15	Utvidgas
0663	Skillingaryd	0665	Vaggeryd	Hel	1971-01-01	10	Upphör; till befintlig
0664	Bodafors	0682	Nässjö	Hel	1971-01-01	10	Upphör; till befintlig
0665	Vaggeryd	0665	Vaggeryd	Hel	1971-01-01	15	Utvidgas
0666	Anderstorp	0662	Gislaved	Hel	1974-01-01	10	Upphör; till befintlig
0680	Jönköping	0680	Jönköping	Hel	1971-01-01	15	Utvidgas
0681	Huskvarna	0681	Huskvarna	Hel	1967-01-01	15	Utvidgas
0681	Huskvarna	0680	Jönköping	Hel	1971-01-01	10	Upphör; till befintlig
0682	Nässjö	0682	Nässjö	Hel	1971-01-01	15	Utvidgas
0683	Värnamo	0683	Värnamo	Hel	1971-01-01	15	Utvidgas
0684	Sävsjö	0684	Sävsjö	Hel	1971-01-01	15	Utvidgas
0684	Sävsjö	0684	Sävsjö	Hel	1974-01-01	15	Utvidgas
0685	Vetlanda	0685	Vetlanda	Hel	1971-01-01	15	Utvidgas
0686	Eksjö	0686	Eksjö	Hel	1971-01-01	15	Utvidgas
0687	Tranås	0687	Tranås	Hel	1967-01-01	15	Utvidgas
0688	Gränna	0680	Jönköping	Hel	1971-01-01	10	Upphör; till befintlig
0701	Åseda landskommun	0760	Åseda	Hel	1965-01-01	10	Upphör; till befintlig
0702	Nottebäck	0760	Uppvidinge	Hel	1971-01-01	10	Upphör; till befintlig
0703	Braås	0780	Växjö	Hel	1971-01-01	10	Upphör; till befintlig
0704	Lenhovda	0768	Lenhovda	Hel	1957-01-01	23	Kodändrad; annat än 20-22
0705	Älghult	0760	Uppvidinge	Hel	1971-01-01	10	Upphör; till befintlig
0706	Hälleberga	0881	Nybro	Hel	1969-01-01	10	Upphör; till befintlig
0707	Ekeberga	0761	Lessebo	Hel	1971-01-01	10	Upphör; till befintlig
0708	Algutsboda	0862	Emmaboda	Hel	1969-01-01	10	Upphör; till befintlig
0709	Älmeboda	0763	Tingsryd	Del	1971-01-01	10	Upphör; till befintlig
0709	Älmeboda	0862	Emmaboda	Del	1971-01-01	10	Upphör; till befintlig
0710	Ljuder	0761	Lessebo	Hel	1971-01-01	10	Upphör; till befintlig
0711	Östra Torsås	0780	Växjö	Hel	1971-01-01	10	Upphör; till befintlig
